gene	snp
ENSG00000165935	snp_1000
ENSG00000166130	snp_1001
ENSG00000166136	snp_1002
ENSG00000166145	snp_1003
ENSG00000166157	snp_1004
ENSG00000166165	snp_1005
ENSG00000166233	snp_1006
ENSG00000166401	snp_1007
ENSG00000166451	snp_1008
ENSG00000166503	snp_1009
ENSG00000166526	snp_1010
ENSG00000166619	snp_1011
ENSG00000166783	snp_1012
ENSG00000166823	snp_1013
ENSG00000166848	snp_1014
ENSG00000166851	snp_1015
ENSG00000166860	snp_1016
ENSG00000166888	snp_1017
ENSG00000166889	snp_1018
ENSG00000166920	snp_1019
ENSG00000166922	snp_1020
ENSG00000167173	snp_1021
ENSG00000167272	snp_1022
ENSG00000167487	snp_1023
ENSG00000167508	snp_1024
ENSG00000167543	snp_1025
ENSG00000167553	snp_1026
ENSG00000167601	snp_1027
ENSG00000167613	snp_1028
ENSG00000167646	snp_1029
ENSG00000167680	snp_1030
ENSG00000167716	snp_1031
ENSG00000167780	snp_1032
ENSG00000167904	snp_1033
ENSG00000167920	snp_1034
ENSG00000167995	snp_1035
ENSG00000168283	snp_1036
ENSG00000168329	snp_1037
ENSG00000168395	snp_1038
ENSG00000168427	snp_1039
ENSG00000168487	snp_1040
ENSG00000168589	snp_1041
ENSG00000168661	snp_1042
ENSG00000168675	snp_1043
ENSG00000168884	snp_1044
ENSG00000168887	snp_1045
ENSG00000168936	snp_1046
ENSG00000168958	snp_1047
ENSG00000169016	snp_1048
ENSG00000169021	snp_1049
ENSG00000169035	snp_1050
ENSG00000169071	snp_1051
ENSG00000169118	snp_1052
ENSG00000169181	snp_1053
ENSG00000169224	snp_1054
ENSG00000169282	snp_1055
ENSG00000169330	snp_1056
ENSG00000169427	snp_1057
ENSG00000169621	snp_1058
ENSG00000169727	snp_1059
ENSG00000169733	snp_1060
ENSG00000169908	snp_1061
ENSG00000169926	snp_1062
ENSG00000169957	snp_1063
ENSG00000170049	snp_1064
ENSG00000170217	snp_1065
ENSG00000170266	snp_1066
ENSG00000170275	snp_1067
ENSG00000170293	snp_1068
ENSG00000170296	snp_1069
ENSG00000170312	snp_1070
ENSG00000170325	snp_1071
ENSG00000170356	snp_1072
ENSG00000170364	snp_1073
ENSG00000170382	snp_1074
ENSG00000170445	snp_1075
ENSG00000170456	snp_1076
ENSG00000170464	snp_1077
ENSG00000170469	snp_1078
ENSG00000170727	snp_1079
ENSG00000170846	snp_1080
ENSG00000170866	snp_1081
ENSG00000170889	snp_1082
ENSG00000170899	snp_1083
ENSG00000170915	snp_1084
ENSG00000171045	snp_1085
ENSG00000171049	snp_1086
ENSG00000171056	snp_1087
ENSG00000171132	snp_1088
ENSG00000171148	snp_1089
ENSG00000171174	snp_1090
ENSG00000171204	snp_1091
ENSG00000171314	snp_1092
ENSG00000171365	snp_1093
ENSG00000171385	snp_1094
ENSG00000171462	snp_1095
ENSG00000171490	snp_1096
ENSG00000171552	snp_1097
ENSG00000171611	snp_1098
ENSG00000171612	snp_1099
ENSG00000171643	snp_1100
ENSG00000171703	snp_1101
ENSG00000171759	snp_1102
ENSG00000171766	snp_1103
ENSG00000171806	snp_1104
ENSG00000171848	snp_1105
ENSG00000171862	snp_1106
ENSG00000171865	snp_1107
ENSG00000172014	snp_1108
ENSG00000172053	snp_1109
ENSG00000172058	snp_1110
ENSG00000172159	snp_1111
ENSG00000172236	snp_1112
ENSG00000172243	snp_1113
ENSG00000172301	snp_1114
ENSG00000172331	snp_1115
ENSG00000172404	snp_1116
ENSG00000172456	snp_1117
ENSG00000172465	snp_1118
ENSG00000172466	snp_1119
ENSG00000172508	snp_1120
ENSG00000172530	snp_1121
ENSG00000172531	snp_1122
ENSG00000172548	snp_1123
ENSG00000172554	snp_1124
ENSG00000172572	snp_1125
ENSG00000172638	snp_1126
ENSG00000172650	snp_1127
ENSG00000172725	snp_1128
ENSG00000172748	snp_1129
ENSG00000172817	snp_1130
ENSG00000172932	snp_1131
ENSG00000172943	snp_1132
ENSG00000172985	snp_1133
ENSG00000173013	snp_1134
ENSG00000173166	snp_1135
ENSG00000173200	snp_1136
ENSG00000173218	snp_1137
ENSG00000173239	snp_1138
ENSG00000173372	snp_1139
ENSG00000173401	snp_1140
ENSG00000173578	snp_1141
ENSG00000173599	snp_1142
ENSG00000173715	snp_1143
ENSG00000173728	snp_1144
ENSG00000173825	snp_1145
ENSG00000173852	snp_1146
ENSG00000173862	snp_1147
ENSG00000173867	snp_1148
ENSG00000173894	snp_1149
ENSG00000173898	snp_1150
ENSG00000173926	snp_1151
ENSG00000173988	snp_1152
ENSG00000174028	snp_1153
ENSG00000174038	snp_1154
ENSG00000174132	snp_1155
ENSG00000174151	snp_1156
ENSG00000174196	snp_1157
ENSG00000174358	snp_1158
ENSG00000174370	snp_1159
ENSG00000174456	snp_1160
ENSG00000174498	snp_1161
ENSG00000174574	snp_1162
ENSG00000174606	snp_1163
ENSG00000174684	snp_1164
ENSG00000174903	snp_1165
ENSG00000174939	snp_1166
ENSG00000174953	snp_1167
ENSG00000174996	snp_1168
ENSG00000175093	snp_1169
ENSG00000175203	snp_1170
ENSG00000175220	snp_1171
ENSG00000175221	snp_1172
ENSG00000175264	snp_1173
ENSG00000175305	snp_1174
ENSG00000175354	snp_1175
ENSG00000175455	snp_1176
ENSG00000175564	snp_1177
ENSG00000175782	snp_1178
ENSG00000175857	snp_1179
ENSG00000175873	snp_1180
ENSG00000176024	snp_1181
ENSG00000176095	snp_1182
ENSG00000176101	snp_1183
ENSG00000176198	snp_1184
ENSG00000176208	snp_1185
ENSG00000176209	snp_1186
ENSG00000176225	snp_1187
ENSG00000176454	snp_1188
ENSG00000176495	snp_1189
ENSG00000176563	snp_1190
ENSG00000176595	snp_1191
ENSG00000176597	snp_1192
ENSG00000176624	snp_1193
ENSG00000176641	snp_1194
ENSG00000176658	snp_1195
ENSG00000176697	snp_1196
ENSG00000176700	snp_1197
ENSG00000176723	snp_1198
ENSG00000176812	snp_1199
ENSG00000176834	snp_1200
ENSG00000176915	snp_1201
ENSG00000176920	snp_1202
ENSG00000176927	snp_1203
ENSG00000176974	snp_1204
ENSG00000176978	snp_1205
ENSG00000177096	snp_1206
ENSG00000177182	snp_1207
ENSG00000177225	snp_1208
ENSG00000177236	snp_1209
ENSG00000177294	snp_1210
ENSG00000177301	snp_1211
ENSG00000177335	snp_1212
ENSG00000177340	snp_1213
ENSG00000177425	snp_1214
ENSG00000177453	snp_1215
ENSG00000177463	snp_1216
ENSG00000177479	snp_1217
ENSG00000177586	snp_1218
ENSG00000177606	snp_1219
ENSG00000177627	snp_1220
ENSG00000177700	snp_1221
ENSG00000177706	snp_1222
ENSG00000177728	snp_1223
ENSG00000177731	snp_1224
ENSG00000177732	snp_1225
ENSG00000177803	snp_1226
ENSG00000177917	snp_1227
ENSG00000177984	snp_1228
ENSG00000178105	snp_1229
ENSG00000178222	snp_1230
ENSG00000178297	snp_1231
ENSG00000178301	snp_1232
ENSG00000178409	snp_1233
ENSG00000178440	snp_1234
ENSG00000178502	snp_1235
ENSG00000178531	snp_1236
ENSG00000178665	snp_1237
ENSG00000178802	snp_1238
ENSG00000178965	snp_1239
ENSG00000178988	snp_1240
ENSG00000179104	snp_1241
ENSG00000179151	snp_1242
ENSG00000179152	snp_1243
ENSG00000179222	snp_1244
ENSG00000179241	snp_1245
ENSG00000179300	snp_1246
ENSG00000179342	snp_1247
ENSG00000179428	snp_1248
ENSG00000179562	snp_1249
ENSG00000179743	snp_1250
ENSG00000179832	snp_1251
ENSG00000179889	snp_1252
ENSG00000179902	snp_1253
ENSG00000179909	snp_1254
ENSG00000179913	snp_1255
ENSG00000180019	snp_1256
ENSG00000180066	snp_1257
ENSG00000180138	snp_1258
ENSG00000180172	snp_1259
ENSG00000180210	snp_1260
ENSG00000180228	snp_1261
ENSG00000180279	snp_1262
ENSG00000180316	snp_1263
ENSG00000180370	snp_1264
ENSG00000180376	snp_1265
ENSG00000180592	snp_1266
ENSG00000180712	snp_1267
ENSG00000180739	snp_1268
ENSG00000180846	snp_1269
ENSG00000181220	snp_1270
ENSG00000181562	snp_1271
ENSG00000181610	snp_1272
ENSG00000181773	snp_1273
ENSG00000181827	snp_1274
ENSG00000181894	snp_1275
ENSG00000182010	snp_1276
ENSG00000182103	snp_1277
ENSG00000182109	snp_1278
ENSG00000182154	snp_1279
ENSG00000182179	snp_1280
ENSG00000182264	snp_1281
ENSG00000182272	snp_1282
ENSG00000182327	snp_1283
ENSG00000182366	snp_1284
ENSG00000182405	snp_1285
ENSG00000182487	snp_1286
ENSG00000182545	snp_1287
ENSG00000182636	snp_1288
ENSG00000182687	snp_1289
ENSG00000182749	snp_1290
ENSG00000182798	snp_1291
ENSG00000182885	snp_1292
ENSG00000183137	snp_1293
ENSG00000183169	snp_1294
ENSG00000183185	snp_1295
ENSG00000183386	snp_1296
ENSG00000183395	snp_1297
ENSG00000183405	snp_1298
ENSG00000183421	snp_1299
ENSG00000183431	snp_1300
ENSG00000183562	snp_1301
ENSG00000183629	snp_1302
ENSG00000183688	snp_1303
ENSG00000183691	snp_1304
ENSG00000183696	snp_1305
ENSG00000183780	snp_1306
ENSG00000183784	snp_1307
ENSG00000183833	snp_1308
ENSG00000183911	snp_1309
ENSG00000184056	snp_1310
ENSG00000184083	snp_1311
ENSG00000184163	snp_1312
ENSG00000184207	snp_1313
ENSG00000184357	snp_1314
ENSG00000184363	snp_1315
ENSG00000184381	snp_1316
ENSG00000184432	snp_1317
ENSG00000184497	snp_1318
ENSG00000184507	snp_1319
ENSG00000184515	snp_1320
ENSG00000184523	snp_1321
ENSG00000184602	snp_1322
ENSG00000184674	snp_1323
ENSG00000184675	snp_1324
ENSG00000184682	snp_1325
ENSG00000184731	snp_1326
ENSG00000184779	snp_1327
ENSG00000184898	snp_1328
ENSG00000184983	snp_1329
ENSG00000184984	snp_1330
ENSG00000184995	snp_1331
ENSG00000185028	snp_1332
ENSG00000185043	snp_1333
ENSG00000185046	snp_1334
ENSG00000185065	snp_1335
ENSG00000185162	snp_1336
ENSG00000185264	snp_1337
ENSG00000185339	snp_1338
ENSG00000185518	snp_1339
ENSG00000185527	snp_1340
ENSG00000185594	snp_1341
ENSG00000185627	snp_1342
ENSG00000185634	snp_1343
ENSG00000185658	snp_1344
ENSG00000185760	snp_1345
ENSG00000185798	snp_1346
ENSG00000185842	snp_1347
ENSG00000185862	snp_1348
ENSG00000185863	snp_1349
ENSG00000185869	snp_1350
ENSG00000185885	snp_1351
ENSG00000185974	snp_1352
ENSG00000186020	snp_1353
ENSG00000186086	snp_1354
ENSG00000186088	snp_1355
ENSG00000186111	snp_1356
ENSG00000186132	snp_1357
ENSG00000186312	snp_1358
ENSG00000186352	snp_1359
ENSG00000186354	snp_1360
ENSG00000186395	snp_1361
ENSG00000186431	snp_1362
ENSG00000186432	snp_1363
ENSG00000186448	snp_1364
ENSG00000186469	snp_1365
ENSG00000186496	snp_1366
ENSG00000186517	snp_1367
ENSG00000186530	snp_1368
ENSG00000186591	snp_1369
ENSG00000186716	snp_1370
ENSG00000186866	snp_1371
ENSG00000186891	snp_1372
ENSG00000186940	snp_1373
ENSG00000187045	snp_1374
ENSG00000187187	snp_1375
ENSG00000187522	snp_1376
ENSG00000187556	snp_1377
ENSG00000187583	snp_1378
ENSG00000187642	snp_1379
ENSG00000187650	snp_1380
ENSG00000187726	snp_1381
ENSG00000187736	snp_1382
ENSG00000187775	snp_1383
ENSG00000187922	snp_1384
ENSG00000187984	snp_1385
ENSG00000187994	snp_1386
ENSG00000188002	snp_1387
ENSG00000188033	snp_1388
ENSG00000188070	snp_1389
ENSG00000188177	snp_1390
ENSG00000188199	snp_1391
ENSG00000188243	snp_1392
ENSG00000188266	snp_1393
ENSG00000188312	snp_1394
ENSG00000188338	snp_1395
ENSG00000188385	snp_1396
ENSG00000188549	snp_1397
ENSG00000188566	snp_1398
ENSG00000188582	snp_1399
ENSG00000188610	snp_1400
ENSG00000188660	snp_1401
ENSG00000188662	snp_1402
ENSG00000188686	snp_1403
ENSG00000188693	snp_1404
ENSG00000188761	snp_1405
ENSG00000188782	snp_1406
ENSG00000188825	snp_1407
ENSG00000188931	snp_1408
ENSG00000189011	snp_1409
ENSG00000189042	snp_1410
ENSG00000189079	snp_1411
ENSG00000189114	snp_1412
ENSG00000189241	snp_1413
ENSG00000189420	snp_1414
ENSG00000196074	snp_1415
ENSG00000196116	snp_1416
ENSG00000196126	snp_1417
ENSG00000196139	snp_1418
ENSG00000196189	snp_1419
ENSG00000196267	snp_1420
ENSG00000196369	snp_1421
ENSG00000196400	snp_1422
ENSG00000196407	snp_1423
ENSG00000196417	snp_1424
ENSG00000196497	snp_1425
ENSG00000196505	snp_1426
ENSG00000196526	snp_1427
ENSG00000196539	snp_1428
ENSG00000196549	snp_1429
ENSG00000196642	snp_1430
ENSG00000196656	snp_1431
ENSG00000196689	snp_1432
ENSG00000196743	snp_1433
ENSG00000196747	snp_1434
ENSG00000196873	snp_1435
ENSG00000196911	snp_1436
ENSG00000196912	snp_1437
ENSG00000196946	snp_1438
ENSG00000196951	snp_1439
ENSG00000196961	snp_1440
ENSG00000197020	snp_1441
ENSG00000197044	snp_1442
ENSG00000197083	snp_1443
ENSG00000197110	snp_1444
ENSG00000197128	snp_1445
ENSG00000197142	snp_1446
ENSG00000197150	snp_1447
ENSG00000197165	snp_1448
ENSG00000197168	snp_1449
ENSG00000197182	snp_1450
ENSG00000197238	snp_1451
ENSG00000197251	snp_1452
ENSG00000197253	snp_1453
ENSG00000197272	snp_1454
ENSG00000197353	snp_1455
ENSG00000197362	snp_1456
ENSG00000197472	snp_1457
ENSG00000197476	snp_1458
ENSG00000197558	snp_1459
ENSG00000197565	snp_1460
ENSG00000197586	snp_1461
ENSG00000197670	snp_1462
ENSG00000197818	snp_1463
ENSG00000197863	snp_1464
ENSG00000197903	snp_1465
ENSG00000197969	snp_1466
ENSG00000197978	snp_1467
ENSG00000198003	snp_1468
ENSG00000198015	snp_1469
ENSG00000198046	snp_1470
ENSG00000198113	snp_1471
ENSG00000198218	snp_1472
ENSG00000198223	snp_1473
ENSG00000198300	snp_1474
ENSG00000198373	snp_1475
ENSG00000198406	snp_1476
ENSG00000198478	snp_1477
ENSG00000198496	snp_1478
ENSG00000198563	snp_1479
ENSG00000198612	snp_1480
ENSG00000198728	snp_1481
ENSG00000198732	snp_1482
ENSG00000198740	snp_1483
ENSG00000198742	snp_1484
ENSG00000198758	snp_1485
ENSG00000198791	snp_1486
ENSG00000198833	snp_1487
ENSG00000198839	snp_1488
ENSG00000198846	snp_1489
ENSG00000198848	snp_1490
ENSG00000198860	snp_1491
ENSG00000198886	snp_1492
ENSG00000198910	snp_1493
ENSG00000198937	snp_1494
ENSG00000198939	snp_1495
ENSG00000198948	snp_1496
ENSG00000199121	snp_1497
ENSG00000199370	snp_1498
ENSG00000199627	snp_1499
ENSG00000199716	snp_1500
ENSG00000200209	snp_1501
ENSG00000200235	snp_1502
ENSG00000200314	snp_1503
ENSG00000200356	snp_1504
ENSG00000200360	snp_1505
ENSG00000200537	snp_1506
ENSG00000200814	snp_1507
ENSG00000201142	snp_1508
ENSG00000201207	snp_1509
ENSG00000201340	snp_1510
ENSG00000201509	snp_1511
ENSG00000201641	snp_1512
ENSG00000202150	snp_1513
ENSG00000202502	snp_1514
ENSG00000202534	snp_1515
ENSG00000203279	snp_1516
ENSG00000203288	snp_1517
ENSG00000203306	snp_1518
ENSG00000203321	snp_1519
ENSG00000203325	snp_1520
ENSG00000203362	snp_1521
ENSG00000203414	snp_1522
ENSG00000203424	snp_1523
ENSG00000203483	snp_1524
ENSG00000203512	snp_1525
ENSG00000203644	snp_1526
ENSG00000203697	snp_1527
ENSG00000203756	snp_1528
ENSG00000204072	snp_1529
ENSG00000204138	snp_1530
ENSG00000204149	snp_1531
ENSG00000204164	snp_1532
ENSG00000204305	snp_1533
ENSG00000204352	snp_1534
ENSG00000204356	snp_1535
ENSG00000204366	snp_1536
ENSG00000204385	snp_1537
ENSG00000204403	snp_1538
ENSG00000204410	snp_1539
ENSG00000204434	snp_1540
ENSG00000204466	snp_1541
ENSG00000204511	snp_1542
ENSG00000204528	snp_1543
ENSG00000204531	snp_1544
ENSG00000204613	snp_1545
ENSG00000204614	snp_1546
ENSG00000204619	snp_1547
ENSG00000204642	snp_1548
ENSG00000204650	snp_1549
ENSG00000204922	snp_1550
ENSG00000204930	snp_1551
ENSG00000204991	snp_1552
ENSG00000205022	snp_1553
ENSG00000205047	snp_1554
ENSG00000205078	snp_1555
ENSG00000205189	snp_1556
ENSG00000205209	snp_1557
ENSG00000205275	snp_1558
ENSG00000205424	snp_1559
ENSG00000205531	snp_1560
ENSG00000205537	snp_1561
ENSG00000205682	snp_1562
ENSG00000205730	snp_1563
ENSG00000205771	snp_1564
ENSG00000205790	snp_1565
ENSG00000205810	snp_1566
ENSG00000205918	snp_1567
ENSG00000205930	snp_1568
ENSG00000206077	snp_1569
ENSG00000206082	snp_1570
ENSG00000206168	snp_1571
ENSG00000206337	snp_1572
ENSG00000206356	snp_1573
ENSG00000206560	snp_1574
ENSG00000206634	snp_1575
ENSG00000206728	snp_1576
ENSG00000206732	snp_1577
ENSG00000206754	snp_1578
ENSG00000206755	snp_1579
ENSG00000206816	snp_1580
ENSG00000206885	snp_1581
ENSG00000207008	snp_1582
ENSG00000207062	snp_1583
ENSG00000207073	snp_1584
ENSG00000207110	snp_1585
ENSG00000207234	snp_1586
ENSG00000207293	snp_1587
ENSG00000207313	snp_1588
ENSG00000207512	snp_1589
ENSG00000207627	snp_1590
ENSG00000207648	snp_1591
ENSG00000207697	snp_1592
ENSG00000207802	snp_1593
ENSG00000207870	snp_1594
ENSG00000207962	snp_1595
ENSG00000208028	snp_1596
ENSG00000210107	snp_1597
ENSG00000210196	snp_1598
ENSG00000210841	snp_1599
ENSG00000211460	snp_1600
ENSG00000211498	snp_1601
ENSG00000211625	snp_1602
ENSG00000211651	snp_1603
ENSG00000211671	snp_1604
ENSG00000211692	snp_1605
ENSG00000211693	snp_1606
ENSG00000211714	snp_1607
ENSG00000211768	snp_1608
ENSG00000211776	snp_1609
ENSG00000211780	snp_1610
ENSG00000211781	snp_1611
ENSG00000211790	snp_1612
ENSG00000211795	snp_1613
ENSG00000211797	snp_1614
ENSG00000211800	snp_1615
ENSG00000211838	snp_1616
ENSG00000211895	snp_1617
ENSG00000211912	snp_1618
ENSG00000211914	snp_1619
ENSG00000211917	snp_1620
ENSG00000211936	snp_1621
ENSG00000211941	snp_1622
ENSG00000211955	snp_1623
ENSG00000211958	snp_1624
ENSG00000211970	snp_1625
ENSG00000211978	snp_1626
ENSG00000212125	snp_1627
ENSG00000212138	snp_1628
ENSG00000212161	snp_1629
ENSG00000212186	snp_1630
ENSG00000212207	snp_1631
ENSG00000212306	snp_1632
ENSG00000212464	snp_1633
ENSG00000212493	snp_1634
ENSG00000212658	snp_1635
ENSG00000212694	snp_1636
ENSG00000212719	snp_1637
ENSG00000212747	snp_1638
ENSG00000212802	snp_1639
ENSG00000212864	snp_1640
ENSG00000212939	snp_1641
ENSG00000212993	snp_1642
ENSG00000213018	snp_1643
ENSG00000213050	snp_1644
ENSG00000213096	snp_1645
ENSG00000213131	snp_1646
ENSG00000213145	snp_1647
ENSG00000213149	snp_1648
ENSG00000213178	snp_1649
ENSG00000213280	snp_1650
ENSG00000213305	snp_1651
ENSG00000213333	snp_1652
ENSG00000213409	snp_1653
ENSG00000213463	snp_1654
ENSG00000213478	snp_1655
ENSG00000213492	snp_1656
ENSG00000213542	snp_1657
ENSG00000213553	snp_1658
ENSG00000213557	snp_1659
ENSG00000213612	snp_1660
ENSG00000213619	snp_1661
ENSG00000213626	snp_1662
ENSG00000213638	snp_1663
ENSG00000213672	snp_1664
ENSG00000213673	snp_1665
ENSG00000213724	snp_1666
ENSG00000213753	snp_1667
ENSG00000213754	snp_1668
ENSG00000213830	snp_1669
ENSG00000213851	snp_1670
ENSG00000213859	snp_1671
ENSG00000213881	snp_1672
ENSG00000213886	snp_1673
ENSG00000213901	snp_1674
ENSG00000213903	snp_1675
ENSG00000213904	snp_1676
ENSG00000213934	snp_1677
ENSG00000213962	snp_1678
ENSG00000213965	snp_1679
ENSG00000213972	snp_1680
ENSG00000213985	snp_1681
ENSG00000213994	snp_1682
ENSG00000214013	snp_1683
ENSG00000214016	snp_1684
ENSG00000214041	snp_1685
ENSG00000214067	snp_1686
ENSG00000214087	snp_1687
ENSG00000214174	snp_1688
ENSG00000214184	snp_1689
ENSG00000214195	snp_1690
ENSG00000214198	snp_1691
ENSG00000214204	snp_1692
ENSG00000214244	snp_1693
ENSG00000214286	snp_1694
ENSG00000214289	snp_1695
ENSG00000214351	snp_1696
ENSG00000214530	snp_1697
ENSG00000214597	snp_1698
ENSG00000214617	snp_1699
ENSG00000214733	snp_1700
ENSG00000214748	snp_1701
ENSG00000214776	snp_1702
ENSG00000214783	snp_1703
ENSG00000214826	snp_1704
ENSG00000214857	snp_1705
ENSG00000214955	snp_1706
ENSG00000214982	snp_1707
ENSG00000215007	snp_1708
ENSG00000215021	snp_1709
ENSG00000215126	snp_1710
ENSG00000215174	snp_1711
ENSG00000215354	snp_1712
ENSG00000215388	snp_1713
ENSG00000215397	snp_1714
ENSG00000215458	snp_1715
ENSG00000215717	snp_1716
ENSG00000215760	snp_1717
ENSG00000215795	snp_1718
ENSG00000215835	snp_1719
ENSG00000215838	snp_1720
ENSG00000215841	snp_1721
ENSG00000216109	snp_1722
ENSG00000216835	snp_1723
ENSG00000216866	snp_1724
ENSG00000216895	snp_1725
ENSG00000217078	snp_1726
ENSG00000217258	snp_1727
ENSG00000217289	snp_1728
ENSG00000217385	snp_1729
ENSG00000217555	snp_1730
ENSG00000217646	snp_1731
ENSG00000218227	snp_1732
ENSG00000218265	snp_1733
ENSG00000218472	snp_1734
ENSG00000218749	snp_1735
ENSG00000218757	snp_1736
ENSG00000218902	snp_1737
ENSG00000219294	snp_1738
ENSG00000219355	snp_1739
ENSG00000219448	snp_1740
ENSG00000219553	snp_1741
ENSG00000219682	snp_1742
ENSG00000219693	snp_1743
ENSG00000219790	snp_1744
ENSG00000219951	snp_1745
ENSG00000220105	snp_1746
ENSG00000220248	snp_1747
ENSG00000220256	snp_1748
ENSG00000220517	snp_1749
ENSG00000220583	snp_1750
ENSG00000220695	snp_1751
ENSG00000220721	snp_1752
ENSG00000220937	snp_1753
ENSG00000221025	snp_1754
ENSG00000221280	snp_1755
ENSG00000221305	snp_1756
ENSG00000221333	snp_1757
ENSG00000221487	snp_1758
ENSG00000221808	snp_1759
ENSG00000221970	snp_1760
ENSG00000221986	snp_1761
ENSG00000222011	snp_1762
ENSG00000222017	snp_1763
ENSG00000222020	snp_1764
ENSG00000222051	snp_1765
ENSG00000222162	snp_1766
ENSG00000222335	snp_1767
ENSG00000222383	snp_1768
ENSG00000222399	snp_1769
ENSG00000222631	snp_1770
ENSG00000222790	snp_1771
ENSG00000222831	snp_1772
ENSG00000222973	snp_1773
ENSG00000223060	snp_1774
ENSG00000223313	snp_1775
ENSG00000223361	snp_1776
ENSG00000223390	snp_1777
ENSG00000223512	snp_1778
ENSG00000223537	snp_1779
ENSG00000223571	snp_1780
ENSG00000223583	snp_1781
ENSG00000223643	snp_1782
ENSG00000223651	snp_1783
ENSG00000223703	snp_1784
ENSG00000223704	snp_1785
ENSG00000223745	snp_1786
ENSG00000223797	snp_1787
ENSG00000223816	snp_1788
ENSG00000223819	snp_1789
ENSG00000223822	snp_1790
ENSG00000223884	snp_1791
ENSG00000224003	snp_1792
ENSG00000224041	snp_1793
ENSG00000224046	snp_1794
ENSG00000224116	snp_1795
ENSG00000224124	snp_1796
ENSG00000224183	snp_1797
ENSG00000224203	snp_1798
ENSG00000224238	snp_1799
ENSG00000224276	snp_1800
ENSG00000224280	snp_1801
ENSG00000224509	snp_1802
ENSG00000224553	snp_1803
ENSG00000224557	snp_1804
ENSG00000224579	snp_1805
ENSG00000224607	snp_1806
ENSG00000224626	snp_1807
ENSG00000224650	snp_1808
ENSG00000224715	snp_1809
ENSG00000224727	snp_1810
ENSG00000224730	snp_1811
ENSG00000224791	snp_1812
ENSG00000224806	snp_1813
ENSG00000224820	snp_1814
ENSG00000224834	snp_1815
ENSG00000224852	snp_1816
ENSG00000224863	snp_1817
ENSG00000224888	snp_1818
ENSG00000224969	snp_1819
ENSG00000224988	snp_1820
ENSG00000224997	snp_1821
ENSG00000225032	snp_1822
ENSG00000225063	snp_1823
ENSG00000225099	snp_1824
ENSG00000225187	snp_1825
ENSG00000225215	snp_1826
ENSG00000225264	snp_1827
ENSG00000225267	snp_1828
ENSG00000225278	snp_1829
ENSG00000225313	snp_1830
ENSG00000225347	snp_1831
ENSG00000225365	snp_1832
ENSG00000225377	snp_1833
ENSG00000225399	snp_1834
ENSG00000225402	snp_1835
ENSG00000225407	snp_1836
ENSG00000225416	snp_1837
ENSG00000225423	snp_1838
ENSG00000225460	snp_1839
ENSG00000225507	snp_1840
ENSG00000225558	snp_1841
ENSG00000225698	snp_1842
ENSG00000225756	snp_1843
ENSG00000225791	snp_1844
ENSG00000225798	snp_1845
ENSG00000225806	snp_1846
ENSG00000225864	snp_1847
ENSG00000225916	snp_1848
ENSG00000225921	snp_1849
ENSG00000225931	snp_1850
ENSG00000225972	snp_1851
ENSG00000226003	snp_1852
ENSG00000226131	snp_1853
ENSG00000226239	snp_1854
ENSG00000226276	snp_1855
ENSG00000226375	snp_1856
ENSG00000226443	snp_1857
ENSG00000226476	snp_1858
ENSG00000226539	snp_1859
ENSG00000226545	snp_1860
ENSG00000226549	snp_1861
ENSG00000226576	snp_1862
ENSG00000226686	snp_1863
ENSG00000226699	snp_1864
ENSG00000226742	snp_1865
ENSG00000226789	snp_1866
ENSG00000226798	snp_1867
ENSG00000226874	snp_1868
ENSG00000226920	snp_1869
ENSG00000226979	snp_1870
ENSG00000227014	snp_1871
ENSG00000227028	snp_1872
ENSG00000227040	snp_1873
ENSG00000227045	snp_1874
ENSG00000227050	snp_1875
ENSG00000227087	snp_1876
ENSG00000227098	snp_1877
ENSG00000227107	snp_1878
ENSG00000227117	snp_1879
ENSG00000227133	snp_1880
ENSG00000227176	snp_1881
ENSG00000227183	snp_1882
ENSG00000227196	snp_1883
ENSG00000227197	snp_1884
ENSG00000227207	snp_1885
ENSG00000227217	snp_1886
ENSG00000227253	snp_1887
ENSG00000227256	snp_1888
ENSG00000227292	snp_1889
ENSG00000227345	snp_1890
ENSG00000227388	snp_1891
ENSG00000227440	snp_1892
ENSG00000227459	snp_1893
ENSG00000227487	snp_1894
ENSG00000227512	snp_1895
ENSG00000227525	snp_1896
ENSG00000227582	snp_1897
ENSG00000227637	snp_1898
ENSG00000227747	snp_1899
ENSG00000227757	snp_1900
ENSG00000227773	snp_1901
ENSG00000227776	snp_1902
ENSG00000227791	snp_1903
ENSG00000227813	snp_1904
ENSG00000227821	snp_1905
ENSG00000227887	snp_1906
ENSG00000227914	snp_1907
ENSG00000227960	snp_1908
ENSG00000228030	snp_1909
ENSG00000228041	snp_1910
ENSG00000228058	snp_1911
ENSG00000228067	snp_1912
ENSG00000228079	snp_1913
ENSG00000228084	snp_1914
ENSG00000228109	snp_1915
ENSG00000228125	snp_1916
ENSG00000228237	snp_1917
ENSG00000228327	snp_1918
ENSG00000228386	snp_1919
ENSG00000228395	snp_1920
ENSG00000228446	snp_1921
ENSG00000228476	snp_1922
ENSG00000228486	snp_1923
ENSG00000228499	snp_1924
ENSG00000228527	snp_1925
ENSG00000228540	snp_1926
ENSG00000228543	snp_1927
ENSG00000228544	snp_1928
ENSG00000228572	snp_1929
ENSG00000228590	snp_1930
ENSG00000228601	snp_1931
